site,distance_m,lon,lat
florianopolis,50,-48.52258889,-27.33461667
florianopolis,500,-48.51805278,-27.33461667
florianopolis,501,-48.51804167,-27.33461667
florianopolis,5000,-48.47381944,-27.33461667
florianopolis,10000,-48.42205556,-27.33461667
arraial,50,-41.98573333,-22.965225
arraial,500,-41.98089444,-22.965225
arraial,501,-41.98088333,-22.965225
arraial,5000,-41.93705833,-22.965225
arraial,10000,-41.88804444,-22.96605833
guarapari,50,-40.42432222,-20.63131111
guarapari,500,-40.42008611,-20.63131111
guarapari,501,-40.42006667,-20.63131111
guarapari,5000,-40.37748611,-20.63131111
guarapari,10000,-40.33015,-20.63131111
trindade,50,-29.29636111,-20.51926667
trindade,500,-29.29206667,-20.51926667
trindade,501,-29.29205556,-20.51926667
trindade,5000,-29.25519444,-20.51926667
trindade,10000,-29.22344444,-20.51926667
abrolhos,50,-39.13298333,-17.68997222
abrolhos,500,-39.12873611,-17.68997222
abrolhos,501,-39.12872778,-17.68997222
abrolhos,5000,-39.08632778,-17.68997222
abrolhos,10000,-39.03946111,-17.68997222
salvador,50,-38.76143611,-13.11884722
salvador,500,-38.75729167,-13.11884722
salvador,501,-38.75728333,-13.11884722
salvador,5000,-38.71588056,-13.11884722
salvador,10000,-38.66993333,-13.11884722
tamandare,50,-35.08573056,-8.747452778
tamandare,500,-35.08164444,-8.747452778
tamandare,501,-35.08163611,-8.747452778
tamandare,5000,-35.04078611,-8.747452778
tamandare,10000,-34.99501944,-8.747452778
puerto_rico,50,-67.02900833,17.97123889
puerto_rico,500,-67.02900833,17.96716667
puerto_rico,501,-67.02900833,17.96715556
puerto_rico,5000,-67.02900833,17.92646667
puerto_rico,10000,-67.02900833,17.88070556